STREAM_ID,sourceID,source,site name,latitude_wgs84,longitude_wgs84,drainagearea_sqkm,state_name,time_zone,WQ_parameters
STREAM-gauge-4476,05536356,USGS,"GRAND CALUMET RIVER AT COLUMBIA AV AT HAMMOND, IN",41.618611,-87.499833,,Indiana,Central,"pH,Turb_FNU,NO3_mgNL,PO4_mgL,Chla_ugL"
STREAM-gauge-2903,05537980,USGS,"DES PLAINES RIVER AT ROUTE 53 AT JOLIET, IL",41.536472,-88.083694,3890.16498,Illinois,Central,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU,NO3_mgNL,PO4_mgL,Chla_ugL"
STREAM-gauge-2904,05538010,USGS,"DES PLAINES RIVER AT ROCKDALE, IL",41.505,-88.099722,3900.52494,Illinois,Central,"WTemp_C,SpC_uScm,DO_mgL,Turb_FNU,Chla_ugL"
STREAM-gauge-2905,05538020,USGS,"DES PLAINES RIVER IN LOCK CHANNEL AT ROCKDALE, IL",41.5,-88.106944,,Illinois,Central,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU,Chla_ugL"
STREAM-gauge-2906,05539670,USGS,"DES PLAINES RIVER AT CHANNAHON, IL",41.414444,-88.214444,4431.47289,Illinois,Central,SpC_uScm
STREAM-gauge-2907,05543010,USGS,"ILLINOIS RIVER AT SENECA, IL",41.299889,-88.614194,21276.76785,Illinois,Central,"WTemp_C,pH,Turb_FNU,NO3_mgNL,Chla_ugL"
STREAM-gauge-3931,05545750,USGS,"FOX RIVER NEAR NEW MUNSTER, WI",42.610851,-88.225923,2100.48189,Wisconsin,Central,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU,NO3_mgNL,PC_RFU"
STREAM-gauge-2908,05549400,USGS,"FOX RIVER AT MILLER BRIDGE NEAR MCHENRY, IL",42.323333,-88.251667,,Illinois,Central,WTemp_C
STREAM-gauge-2909,05549500,USGS,"FOX RIVER NEAR MCHENRY, IL",42.310022,-88.251474,3237.4875,Illinois,Central,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU,Chla_ugL"
STREAM-gauge-2910,05550001,USGS,"FOX RIVER (TAILWATER) AT ALGONQUIN, IL",42.161944,-88.293889,3701.09571,Illinois,Central,"WTemp_C,SpC_uScm,DO_mgL,pH"
STREAM-gauge-2911,05551580,USGS,"FOX RIVER AT YORKVILLE, IL",41.642839,-88.443381,4672.34196,Illinois,Central,SpC_uScm
STREAM-gauge-2912,05553700,USGS,"ILLINOIS RIVER AT STARVED ROCK, IL",41.324756,-88.983969,28634.92944,Illinois,Central,"SpC_uScm,pH,Turb_FNU,NO3_mgNL,PO4_mgL,Chla_ugL"
STREAM-gauge-2913,05554000,USGS,"NORTH FORK VERMILION RIVER NEAR CHARLOTTE, IL",40.83559,-88.29894,481.73814,Illinois,Central,WTemp_C
STREAM-gauge-2914,05554200,USGS,"SOUTH FORK VERMILION RIVER AT FORREST, IL",40.748646,-88.416165,167.831352,Illinois,Central,WTemp_C
STREAM-gauge-2915,05554300,USGS,"INDIAN CREEK NEAR FAIRBURY, IL",40.72277800000001,-88.53,174.824325,Illinois,Central,"Turb_FNU,NO3_mgNL"
STREAM-gauge-2916,05554480,USGS,"VERMILION RIVER AT HWY 6 NEAR MCDOWELL, IL",40.830111,-88.517778,1344.20481,Illinois,Central,WTemp_C
STREAM-gauge-2917,05554500,USGS,"VERMILION RIVER AT PONTIAC, IL",40.877833,-88.636,1499.60421,Illinois,Central,WTemp_C
STREAM-gauge-2918,05554580,USGS,"VERMILION RIVER AT RTE 23 NEAR CORNELL, IL",40.989222,-88.765,2100.48189,Illinois,Central,WTemp_C
STREAM-gauge-2919,05555000,USGS,"VERMILION RIVER AT STREATOR, IL",41.093089,-88.834796,2797.1892,Illinois,Central,WTemp_C
STREAM-gauge-2920,05555300,USGS,"VERMILION RIVER NEAR LEONORE, IL",41.208333,-88.930556,3240.07749,Illinois,Central,WTemp_C
STREAM-gauge-2921,05557500,USGS,"EAST BUREAU CREEK NEAR BUREAU, IL",41.334722,-89.381944,256.40901,Illinois,Central,NO3_mgNL
STREAM-gauge-2922,05558300,USGS,"ILLINOIS RIVER AT HENRY, IL",41.107278,-89.356222,35078.82456,Illinois,Central,"SpC_uScm,DO_mgL,Turb_FNU,Chla_ugL"
