DateTime,Q_m3s,Flag_Q_m3s
2013-02-13 06:00,0.0,A
2013-02-13 07:00,0.0,A
2013-02-13 08:00,0.0,A
2013-02-13 09:00,0.0,A
2013-02-13 10:00,0.0,A
2013-02-13 11:00,0.0,A
2013-02-13 12:00,0.0,A
2013-02-13 13:00,0.0,A
2013-02-13 14:00,0.0,A
2013-02-13 15:00,0.0,A
2013-02-13 16:00,0.0,A
2013-02-13 17:00,0.0,A
2013-02-13 18:00,0.0,A
2013-02-13 19:00,0.0,A
2013-02-13 20:00,0.0,A
2013-02-13 21:00,0.0,A
2013-02-13 22:00,0.0,A
2013-02-13 23:00,0.0,A
2013-02-14 00:00,0.0,A
2013-02-14 01:00,0.0,A
2013-02-14 02:00,0.0,A
2013-02-14 03:00,0.0,A
2013-02-14 04:00,0.0,A
2013-02-14 05:00,0.0,A
2013-02-14 06:00,0.0,A
2013-02-14 07:00,0.0,A
2013-02-14 08:00,0.0,A
2013-02-14 09:00,0.0,A
2013-02-14 10:00,0.0,A
2013-02-14 11:00,0.0,A
2013-02-14 12:00,0.0,A
2013-02-14 13:00,0.0,A
2013-02-14 14:00,0.0,A
2013-02-14 15:00,0.0,A
2013-02-14 16:00,0.0,A
2013-02-14 17:00,0.0,A
2013-02-14 18:00,0.0,A
2013-02-14 19:00,0.0,A
2013-02-14 20:00,0.0,A
2013-02-14 21:00,0.0,A
2013-02-14 22:00,0.0,A
2013-02-14 23:00,0.0,A
2013-02-15 00:00,0.0,A
2013-02-15 01:00,0.0,A
2013-02-15 02:00,0.0,A
2013-02-15 03:00,0.0,A
2013-02-15 04:00,0.0,A
2013-02-15 05:00,0.0,A
2013-02-21 06:00,0.0,A
2013-02-21 07:00,0.0,A
2013-02-21 08:00,0.0,A
2013-02-21 09:00,0.0,A
2013-02-21 10:00,0.0,A
2013-02-21 11:00,0.0,A
2013-02-21 12:00,0.0,A
2013-02-21 13:00,0.0,A
2013-02-21 14:00,0.0,A
2013-02-21 15:00,0.0,A
2013-02-21 16:00,0.0,A
2013-02-21 17:00,0.0,A
2013-02-21 18:00,0.0,A
2013-02-21 19:00,0.0,A
2013-02-21 20:00,0.0,A
2013-02-21 21:00,0.0,A
2013-02-21 22:00,0.0,A
2013-02-21 23:00,0.0,A
2013-02-22 00:00,0.0,A
2013-02-22 01:00,0.0,A
2013-02-22 02:00,0.0,A
2013-02-22 03:00,0.0,A
2013-02-22 04:00,0.0,A
2013-02-22 05:00,0.0,A
2013-02-22 06:00,0.0,A
2013-02-22 07:00,0.0,A
2013-02-22 08:00,0.0,A
2013-02-22 09:00,0.0,A
2013-02-22 10:00,0.0,A
2013-02-22 11:00,0.0,A
2013-02-22 12:00,0.0,A
2013-02-22 13:00,0.0,A
2013-02-22 14:00,0.0,A
2013-02-22 15:00,0.0,A
2013-02-22 16:00,0.0,A
2013-02-22 17:00,0.0,A
2013-02-22 18:00,0.0,A
2013-02-22 19:00,0.0,A
2013-02-22 20:00,0.0,A
2013-02-22 21:00,0.0,A
2013-02-22 22:00,0.0,A
2013-02-22 23:00,0.0,A
2013-02-23 00:00,0.0,A
2013-02-23 01:00,0.0,A
2013-02-23 02:00,0.0,A
2013-02-23 03:00,0.0,A
2013-02-23 04:00,0.0,A
2013-02-23 05:00,0.0,A
2013-02-23 06:00,0.0,A
2013-02-23 07:00,0.0,A
2013-02-23 08:00,0.0,A
2013-02-23 09:00,0.0,A
2013-02-23 10:00,0.0,A
2013-02-23 11:00,0.0,A
2013-02-23 12:00,0.0,A
2013-02-23 13:00,0.0,A
2013-02-23 14:00,0.0,A
2013-02-23 15:00,0.0,A
2013-02-23 16:00,0.0,A
2013-02-23 17:00,0.0,A
2013-02-23 18:00,0.0,A
2013-02-23 19:00,0.0,A
2013-02-23 20:00,0.0,A
2013-02-23 21:00,0.0,A
2013-02-23 22:00,0.0,A
2013-02-23 23:00,0.0,A
2013-02-24 00:00,0.0,A
2013-02-24 01:00,0.0,A
2013-02-24 02:00,0.0,A
2013-02-24 03:00,0.0,A
2013-02-24 04:00,0.0,A
2013-02-24 05:00,0.0,A
2013-02-24 06:00,0.0,A
2013-02-24 07:00,0.0,A
2013-02-24 08:00,0.0,A
2013-02-24 09:00,0.0,A
2013-02-24 10:00,0.0,A
2013-02-24 11:00,0.0,A
2013-02-24 12:00,0.0,A
2013-02-24 13:00,0.0,A
2013-02-24 14:00,0.0,A
2013-02-24 15:00,0.0,A
2013-02-24 16:00,0.0,A
2013-02-24 17:00,0.0,A
2013-02-24 18:00,0.0,A
2013-02-24 19:00,0.0,A
2013-02-24 20:00,0.0,A
2013-02-24 21:00,0.0,A
2013-02-24 22:00,0.0,A
2013-02-24 23:00,0.0,A
2013-02-25 00:00,0.0,A
2013-02-25 01:00,0.0,A
2013-02-25 02:00,0.0,A
2013-02-25 03:00,0.0,A
2013-02-25 04:00,0.0,A
2013-02-25 05:00,0.0,A
2013-02-27 06:00,0.0,A
2013-02-27 07:00,0.0,A
2013-02-27 08:00,0.0,A
2013-02-27 09:00,0.0,A
2013-02-27 10:00,0.0,A
2013-02-27 11:00,0.0,A
2013-02-27 12:00,0.0,A
2013-02-27 13:00,0.0,A
2013-02-27 14:00,0.0,A
2013-02-27 15:00,0.0,A
2013-02-27 16:00,0.0,A
2013-02-27 17:00,0.0,A
2013-02-27 18:00,0.0,A
2013-02-27 19:00,0.0,A
2013-02-27 20:00,0.0,A
2013-02-27 21:00,0.0,A
2013-02-27 22:00,0.0,A
2013-02-27 23:00,0.0,A
2013-02-28 00:00,0.0,A
2013-02-28 01:00,0.0,A
2013-02-28 02:00,0.0,A
2013-02-28 03:00,0.0,A
2013-02-28 04:00,0.0,A
2013-02-28 05:00,0.0,A
2013-02-28 06:00,0.0,A
2013-02-28 07:00,0.0,A
2013-02-28 08:00,0.0,A
2013-02-28 09:00,0.0,A
2013-02-28 10:00,0.0,A
2013-02-28 11:00,0.0,A
2013-02-28 12:00,0.0,A
2013-02-28 13:00,0.0,A
2013-02-28 14:00,0.0,A
2013-02-28 15:00,0.0,A
2013-02-28 16:00,0.0,A
2013-02-28 17:00,0.0,A
2013-02-28 18:00,0.0,A
2013-02-28 19:00,0.0,A
2013-02-28 20:00,0.0,A
2013-02-28 21:00,0.0,A
2013-02-28 22:00,0.0,A
2013-02-28 23:00,0.0,A
2013-03-01 00:00,0.0,A
2013-03-01 01:00,0.0,A
2013-03-01 02:00,0.0,A
2013-03-01 03:00,0.0,A
2013-03-01 04:00,0.0,A
2013-03-01 05:00,0.0,A
2013-03-01 06:00,0.0,A
2013-03-01 07:00,0.0,A
2013-03-01 08:00,0.0,A
2013-03-01 09:00,0.0,A
2013-03-01 10:00,0.0,A
2013-03-01 11:00,0.0,A
2013-03-01 12:00,0.0,A
2013-03-01 13:00,0.0,A
2013-03-01 14:00,0.0,A
2013-03-01 15:00,0.0,A
2013-03-01 16:00,0.0,A
2013-03-01 17:00,0.0,A
2013-03-01 18:00,0.0,A
2013-03-01 19:00,0.0,A
2013-03-01 20:00,0.0,A
2013-03-01 21:00,0.0,A
2013-03-01 22:00,0.0,A
2013-03-01 23:00,0.0,A
2013-03-02 00:00,0.0,A
2013-03-02 01:00,0.0,A
2013-03-02 02:00,0.0,A
2013-03-02 03:00,0.0,A
2013-03-02 04:00,0.0,A
2013-03-02 05:00,0.0,A
2013-03-02 06:00,0.0,A
2013-03-02 07:00,0.0,A
2013-03-02 08:00,0.0,A
2013-03-02 09:00,0.0,A
2013-03-02 10:00,0.0,A
2013-03-02 11:00,0.0,A
2013-03-02 12:00,0.0,A
2013-03-02 13:00,0.0,A
2013-03-02 14:00,0.0,A
2013-03-02 15:00,0.0,A
2013-03-02 16:00,0.0,A
2013-03-02 17:00,0.0,A
2013-03-02 18:00,0.0,A
2013-03-02 19:00,0.0,A
2013-03-02 20:00,0.0,A
2013-03-02 21:00,0.0,A
2013-03-02 22:00,0.0,A
2013-03-02 23:00,0.0,A
2013-03-03 00:00,0.0,A
2013-03-03 01:00,0.0,A
2013-03-03 02:00,0.0,A
2013-03-03 03:00,0.0,A
2013-03-03 04:00,0.0,A
2013-03-03 05:00,0.0,A
2013-03-03 06:00,0.0,A
2013-03-03 07:00,0.0,A
2013-03-03 08:00,0.0,A
2013-03-03 09:00,0.0,A
2013-03-03 10:00,0.0,A
2013-03-03 11:00,0.0,A
2013-03-03 12:00,0.0,A
2013-03-03 13:00,0.0,A
2013-03-03 14:00,0.0,A
2013-03-03 15:00,0.0,A
2013-03-03 16:00,0.0,A
2013-03-03 17:00,0.0,A
2013-03-03 18:00,0.0,A
2013-03-03 19:00,0.0,A
2013-03-03 20:00,0.0,A
2013-03-03 21:00,0.0,A
2013-03-03 22:00,0.0,A
2013-03-03 23:00,0.0,A
2013-03-04 00:00,0.0,A
2013-03-04 01:00,0.0,A
2013-03-04 02:00,0.0,A
2013-03-04 03:00,0.0,A
2013-03-04 04:00,0.0,A
2013-03-04 05:00,0.0,A
2013-03-04 06:00,0.0,A
2013-03-04 07:00,0.0,A
2013-03-04 08:00,0.0,A
2013-03-04 09:00,0.0,A
2013-03-04 10:00,0.0,A
2013-03-04 11:00,0.0,A
2013-03-04 12:00,0.0,A
2013-03-04 13:00,0.0,A
2013-03-04 14:00,0.0,A
2013-03-04 15:00,0.0,A
2013-03-04 16:00,0.0,A
2013-03-04 17:00,0.0,A
2013-03-04 18:00,0.0,A
2013-03-04 19:00,0.0,A
2013-03-04 20:00,0.0,A
2013-03-04 21:00,0.0,A
2013-03-04 22:00,0.0,A
2013-03-04 23:00,0.0,A
2013-03-05 00:00,0.0,A
2013-03-05 01:00,0.0,A
2013-03-05 02:00,0.0,A
2013-03-05 03:00,0.0,A
2013-03-05 04:00,0.0,A
2013-03-05 05:00,0.0,A
2013-03-05 06:00,0.0,A
2013-03-05 07:00,0.0,A
2013-03-05 08:00,0.0,A
2013-03-05 09:00,0.0,A
2013-03-05 10:00,0.0,A
2013-03-05 11:00,0.0,A
2013-03-05 12:00,0.0,A
2013-03-05 13:00,0.0,A
2013-03-05 14:00,0.0,A
2013-03-05 15:00,0.0,A
2013-03-05 16:00,0.0,A
2013-03-05 17:00,0.0,A
2013-03-05 18:00,0.0,A
2013-03-05 19:00,0.0,A
2013-03-05 20:00,0.0,A
2013-03-05 21:00,0.0,A
2013-03-05 22:00,0.0,A
2013-03-05 23:00,0.0,A
2013-03-06 00:00,0.0,A
2013-03-06 01:00,0.0,A
2013-03-06 02:00,0.0,A
2013-03-06 03:00,0.0,A
2013-03-06 04:00,0.0,A
2013-03-06 05:00,0.0,A
2013-03-06 06:00,0.0,A
2013-03-06 07:00,0.0,A
2013-03-06 08:00,0.0,A
2013-03-06 09:00,0.0,A
2013-03-06 10:00,0.0,A
2013-03-06 11:00,0.0,A
2013-03-06 12:00,0.0,A
2013-03-06 13:00,0.0,A
2013-03-06 14:00,0.0,A
2013-03-06 15:00,0.0,A
2013-03-06 16:00,0.0,A
2013-03-06 17:00,0.0,A
2013-03-06 18:00,0.0,A
2013-03-06 19:00,0.0,A
2013-03-06 20:00,0.0,A
2013-03-06 21:00,0.0,A
2013-03-06 22:00,0.0,A
2013-03-06 23:00,0.0,A
2013-03-07 00:00,0.0,A
2013-03-07 01:00,0.0,A
2013-03-07 02:00,0.0,A
2013-03-07 03:00,0.0,A
2013-03-07 04:00,0.0,A
2013-03-07 05:00,0.0,A
2013-03-07 06:00,0.0,A
2013-03-07 07:00,0.0,A
2013-03-07 08:00,0.0,A
2013-03-07 09:00,0.0,A
2013-03-07 10:00,0.0,A
2013-03-07 11:00,0.0,A
2013-03-07 12:00,0.0,A
2013-03-07 13:00,0.0,A
2013-03-07 14:00,0.0,A
2013-03-07 15:00,0.0,A
2013-03-07 16:00,0.0,A
2013-03-07 17:00,0.0,A
2013-03-07 18:00,0.0,A
2013-03-07 19:00,0.0,A
2013-03-07 20:00,0.0,A
2013-03-07 21:00,0.0,A
2013-03-07 22:00,0.0,A
2013-03-07 23:00,0.0,A
2013-03-08 00:00,0.0,A
2013-03-08 01:00,0.0,A
2013-03-08 02:00,0.0,A
2013-03-08 03:00,0.0,A
2013-03-08 04:00,0.0,A
2013-03-08 05:00,0.0,A
2013-03-16 05:00,1.1619346051583999,A
2013-03-16 06:00,1.0656573267456,A
2013-03-16 07:00,0.9330400952064,A
2013-03-16 08:00,0.8700351115392001,A
2013-03-16 09:00,0.8292790787657143,A
2013-03-16 10:00,0.8026538879441455,A
2013-03-16 11:00,0.7472501184,A
2013-03-16 12:00,0.7301026946304001,A
2013-03-16 13:00,0.7054041117695999,A
2013-03-16 14:00,0.665445894912,A
2013-03-16 15:00,0.6463963799319273,A
2013-03-16 16:00,0.6187230980352001,A
2013-03-16 17:00,0.5751859463999999,A
2013-03-16 18:00,0.6651312632831999,A
2013-03-16 19:00,0.7176747452928001,A
2013-03-16 20:00,0.9521539666560004,A
2013-03-16 21:00,1.4788473132672,A
2013-03-16 22:00,1.9189383040511998,A
2013-03-16 23:00,2.1612833161343996,A
2013-03-17 00:00,2.1681265540608,A
2013-03-17 01:00,1.9781677081728,A
2013-03-17 02:00,1.7395982756352002,A
2013-03-17 03:00,1.4594974680959998,A
2013-03-17 04:00,1.1227629673728001,A
2013-03-17 05:00,0.9257249098368,A
2013-03-17 06:00,0.74921656608,A
2013-03-17 07:00,0.6097560966144001,A
2013-03-17 08:00,0.5495827976064,A
2013-03-17 09:00,0.5158385554175999,A
2013-03-17 10:00,0.488465603712,A
2013-03-17 11:00,0.4573170724607999,A
2013-03-17 12:00,0.4346635951872001,A
2013-03-17 13:00,0.44032696450559994,A
2013-03-17 14:00,0.5304689261568,A
2013-03-17 15:00,0.7065053224704,A
2013-03-17 16:00,0.6045646747392002,A
2013-03-17 17:00,0.5845069084032001,A
2013-03-17 18:00,0.5646851157888001,A
2013-03-17 19:00,0.4889375511552001,A
2013-03-17 20:00,0.4410348856704001,A
2013-03-17 21:00,0.4629804417792,A
2013-03-17 22:00,0.5153666079744,A
2013-03-17 23:00,0.6106999915008,A
2013-03-18 00:00,0.6845597663616,A
2013-03-18 01:00,0.7267990625279999,A
2013-03-18 02:00,0.7409574858239999,A
2013-03-18 03:00,0.6899871619583999,A
2013-03-18 04:00,0.5915861200511999,A
2013-03-18 05:00,0.5042758430591998,A
2013-03-18 06:00,0.4332477528576001,A
2013-03-18 07:00,0.3869969034240001,A
2013-03-18 08:00,0.3433417649280001,A
2013-03-18 09:00,0.304406100864,A
2013-03-18 10:00,0.28196499993984003,A
2013-03-18 11:00,0.26318149170048005,A
2013-03-18 12:00,0.24822075775104005,A
2013-03-18 13:00,0.24173148040704,A
2013-03-18 14:00,0.23996167749504,A
2013-03-18 15:00,0.25180755831935997,A
2013-03-18 16:00,0.27764668083456,A
2013-03-18 17:00,0.2543088797683201,A
2013-03-18 18:00,0.22044665071872,A
2013-03-18 19:00,0.20756248551935996,A
2013-03-18 20:00,0.20097881868672,A
2013-03-18 21:00,0.19552782571775995,A
2013-03-18 22:00,0.19800554979456,A
2013-03-18 23:00,0.16348259432448,A
2013-03-19 00:00,0.14344842536063998,A
2013-03-19 01:00,0.14545420199423995,A
2013-03-19 02:00,0.14993770270464002,A
2013-03-19 03:00,0.16024975433855995,A
2013-03-19 04:00,0.16603111051776,A
2013-03-19 05:00,0.15850354879871995,A
2013-03-19 06:00,0.15036245540351997,A
2013-03-19 07:00,0.15852714617087998,A
2013-03-19 08:00,0.17662633061760002,A
2013-03-19 09:00,0.1975100049792,A
2013-03-19 10:00,0.21181001250815998,A
2013-03-19 11:00,0.21719021336064004,A
2013-03-19 12:00,0.21122007820416,A
2013-03-19 13:00,0.21773295292032008,A
2013-03-19 14:00,0.22974401534976005,A
2013-03-19 15:00,0.24824435512320006,A
2013-03-19 16:00,0.30209355839231994,A
2013-03-19 17:00,0.23875821151488,A
2013-03-19 18:00,0.17495091719423994,A
2013-03-19 19:00,0.18870818516351998,A
2013-03-19 20:00,0.21990391115903998,A
2013-03-19 21:00,0.18271445263488,A
2013-03-19 22:00,0.13799743239168002,A
2013-03-19 23:00,0.11078966229119999,A
2013-03-20 00:00,0.08301555525888,A
2013-03-20 01:00,0.06772445809919997,A
2013-03-20 02:00,0.057931548652800015,A
2013-03-20 03:00,0.051300687075840005,A
2013-03-20 04:00,0.04898814460416,A
2013-03-20 05:00,0.04898814460416,A
2013-03-20 06:00,0.052433360939520016,A
2013-03-20 07:00,0.05507626662143999,A
2013-03-20 08:00,0.057436003837440006,A
2013-03-20 09:00,0.059795741053440016,A
2013-03-20 10:00,0.060031714775040025,A
