DateTime,WTemp_C,Flag_WTemp_C,SpC_uScm,Flag_SpC_uScm,DO_mgL,Flag_DO_mgL,pH,Flag_pH,Turb_FNU,Flag_Turb_FNU
2017-07-10 15:00,26.3,A,427.0,A,4.5,A,8.0,A,,
2017-07-10 16:00,26.35,A,426.5,A,4.0,A,7.966666666666666,A,,
2017-07-10 17:00,26.4,A,428.0,A,4.0,A,7.9,A,,
2017-07-10 18:00,26.45,A,428.25,A,4.85,A,7.9,A,,
2017-07-10 19:00,26.55,A,430.5,A,4.75,A,7.9,A,,
2017-07-10 20:00,26.6,A,432.0,A,4.825,A,7.9,A,,
2017-07-10 21:00,26.65,A,434.0,A,4.725,A,7.925000000000002,A,,
2017-07-10 22:00,26.7,A,436.75,A,4.775,A,7.949999999999998,A,,
2017-07-10 23:00,26.875,A,438.0,A,5.074999999999998,A,8.0,A,,
2017-07-11 00:00,26.725,A,436.5,A,4.8,A,8.0,A,,
2017-07-11 01:00,26.775,A,437.0,A,4.699999999999998,A,7.975,A,,
2017-07-11 02:00,26.775,A,437.0,A,4.775,A,7.975,A,,
2017-07-11 03:00,26.8,A,435.0,A,4.875,A,8.0,A,,
2017-07-11 04:00,26.825000000000006,A,433.75,A,4.9,A,8.0,A,,
2017-07-11 05:00,26.65,A,429.75,A,5.025,A,8.0,A,,
2017-07-11 06:00,26.675000000000004,A,432.75,A,5.125,A,8.0,A,,
2017-07-11 07:00,26.950000000000006,A,452.0,A,5.275,A,8.0,A,,
2017-07-11 08:00,26.95,A,464.0,A,5.375,A,7.975,A,,
2017-07-11 09:00,27.05,A,457.75,A,5.199999999999998,A,8.0,A,,
2017-07-11 10:00,26.775,A,466.25,A,5.025,A,7.95,A,,
2017-07-11 11:00,26.9,A,461.0,A,4.9,A,7.975,A,,
2017-07-11 12:00,26.75,A,460.0,A,4.55,A,7.9,A,,
2017-07-11 13:00,26.825,A,461.75,A,4.6,A,7.925000000000002,A,,
2017-07-11 14:00,26.75,A,472.75,A,4.525,A,7.875,A,,
2017-07-11 15:00,26.7,A,475.75,A,4.475,A,7.8,A,,
2017-07-11 16:00,26.925,A,462.75,A,5.125000000000001,A,7.8,A,,
2017-07-11 17:00,26.525,A,464.75,A,3.725,A,7.8,A,,
2017-07-11 18:00,26.8,A,463.25,A,4.4,A,7.866666666666667,A,,
2017-07-11 19:00,26.9,A,477.5,A,5.075,A,7.833333333333332,A,,
2017-07-11 20:00,26.9,A,485.0,A,5.1,A,7.8,A,,
2017-07-11 21:00,26.825000000000006,A,475.25,A,4.725,A,7.933333333333334,A,,
2017-07-11 22:00,26.85,A,471.25,A,5.166666666666667,A,7.95,A,,
2017-07-11 23:00,26.725,A,474.5,A,5.1,A,7.9,A,,
2017-07-12 00:00,26.975,A,467.5,A,5.233333333333333,A,7.933333333333334,A,,
2017-07-12 01:00,27.1,A,476.25,A,5.325,A,7.966666666666666,A,,
2017-07-12 02:00,27.25,A,471.0,A,5.675000000000002,A,7.9,A,,
2017-07-12 03:00,27.16666666666667,A,468.75,A,5.466666666666666,A,8.033333333333333,A,,
2017-07-12 04:00,26.950000000000006,A,468.75,A,5.2,A,8.05,A,,
2017-07-12 05:00,27.175,A,464.75,A,5.449999999999998,A,8.1,A,,
2017-07-12 06:00,27.3,A,465.5,A,5.575,A,8.05,A,,
2017-07-12 07:00,27.375,A,471.75,A,5.6000000000000005,A,8.2,A,,
2017-07-12 08:00,27.025,A,472.5,A,5.45,A,8.3,A,,
2017-07-12 09:00,27.225,A,458.5,A,5.566666666666666,A,8.200000000000001,A,,
