DateTime,NO3_mgNL,Flag_NO3_mgNL
2013-04-27 05:00,38.1,A
2013-04-27 06:00,38.075,A
2013-04-27 07:00,38.075,A
2013-04-27 08:00,38.175,A
2013-04-27 09:00,38.2,A
2013-04-27 10:00,38.225,A
2013-04-27 11:00,38.2,A
2013-04-27 12:00,38.2,A
2013-04-27 13:00,38.2,A
2013-04-27 14:00,38.275,A
2013-04-27 15:00,38.3,A
2013-04-27 16:00,38.3,A
2013-04-27 17:00,38.35,A
2013-04-27 18:00,38.4,A
2013-04-27 19:00,38.4,A
2013-04-27 20:00,38.475,A
2013-04-27 21:00,38.575,A
2013-04-27 22:00,38.575,A
2013-04-27 23:00,38.55,A
2013-04-28 00:00,38.5,A
2013-04-28 01:00,38.475,A
2013-04-28 02:00,38.45,A
2013-04-28 03:00,38.45,A
2013-04-28 04:00,38.4,A
2013-04-28 05:00,38.4,A
2013-04-28 06:00,38.4,A
2013-04-28 07:00,38.4,A
2013-04-28 08:00,38.4,A
2013-04-28 09:00,38.45,A
2013-04-28 10:00,38.475,A
2013-04-28 11:00,38.5,A
2013-04-28 12:00,38.5,A
2013-04-28 13:00,38.45,A
2013-04-28 14:00,38.4,A
2013-04-28 15:00,38.475,A
2013-04-28 16:00,38.5,A
2013-04-28 17:00,38.575,A
2013-04-28 18:00,38.5,A
2013-04-28 19:00,38.5,A
2013-04-28 20:00,38.5,A
2013-04-28 21:00,38.475,A
2013-04-28 22:00,38.4,A
2013-04-28 23:00,38.4,A
2013-04-29 00:00,38.4,A
2013-04-29 01:00,38.4,A
2013-04-29 02:00,38.4,A
2013-04-29 03:00,38.4,A
2013-04-29 04:00,38.4,A
2013-04-29 05:00,38.35,A
2013-04-29 06:00,38.3,A
2013-04-29 07:00,38.4,A
2013-04-29 08:00,38.4,A
2013-04-29 09:00,38.45,A
2013-04-29 10:00,38.475,A
2013-04-29 11:00,38.475,A
2013-04-29 12:00,38.475,A
2013-04-29 13:00,38.4,A
2013-04-29 14:00,38.4,A
2013-04-29 15:00,38.4,A
2013-04-29 16:00,38.4,A
2013-04-29 17:00,38.4,A
2013-04-29 18:00,38.5,A
2013-04-29 19:00,38.925,A
2013-04-29 20:00,38.25,A
2013-04-29 21:00,37.125,A
2013-04-29 22:00,32.425,A
2013-04-29 23:00,30.45,A
2013-04-30 00:00,31.225,A
2013-04-30 01:00,31.975,A
2013-04-30 02:00,32.8,A
2013-04-30 03:00,33.55,A
2013-04-30 04:00,34.05,A
2013-04-30 05:00,34.175,A
2013-04-30 06:00,34.325,A
2013-04-30 07:00,34.55,A
2013-04-30 08:00,34.775,A
2013-04-30 09:00,34.95,A
2013-04-30 10:00,35.175000000000004,A
2013-04-30 11:00,35.325,A
2013-04-30 12:00,35.375,A
2013-04-30 13:00,35.6,A
2013-04-30 14:00,35.75,A
2013-04-30 15:00,35.8,A
2013-04-30 16:00,35.9,A
2013-04-30 17:00,36.1,A
2013-04-30 18:00,35.875,A
2013-04-30 19:00,35.30000000000001,A
2013-04-30 20:00,34.849999999999994,A
2013-04-30 21:00,34.725,A
2013-04-30 22:00,34.775,A
2013-04-30 23:00,34.9,A
2013-05-01 00:00,35.05,A
2013-05-01 01:00,35.25,A
2013-05-01 02:00,35.4,A
2013-05-01 03:00,35.5,A
2013-05-01 04:00,35.675,A
2013-05-01 05:00,35.85,A
2013-05-01 06:00,36.1,A
2013-05-01 07:00,36.275,A
2013-05-01 08:00,36.5,A
2013-05-01 09:00,36.7,A
2013-05-01 10:00,36.825,A
2013-05-01 11:00,37.025,A
2013-05-01 12:00,37.25,A
2013-05-01 13:00,37.425,A
2013-05-01 14:00,37.5,A
2013-05-01 15:00,37.675,A
2013-05-01 16:00,37.8,A
2013-05-01 17:00,37.925,A
2013-05-01 18:00,38.0,A
2013-05-01 19:00,38.025,A
2013-05-01 20:00,38.0,A
2013-05-01 21:00,38.0,A
2013-05-01 22:00,38.0,A
2013-05-01 23:00,38.025,A
2013-05-02 00:00,38.1,A
2013-05-02 01:00,38.1,A
2013-05-02 02:00,38.05,A
2013-05-02 03:00,37.925,A
2013-05-02 04:00,37.65,A
2013-05-02 05:00,37.175,A
2013-05-02 06:00,36.425,A
2013-05-02 07:00,35.625,A
2013-05-02 08:00,35.175,A
2013-05-02 09:00,34.5,A
2013-05-02 10:00,34.05,A
2013-05-02 11:00,34.0,A
2013-05-02 12:00,33.725,A
2013-05-02 13:00,33.7,A
2013-05-02 14:00,32.75,A
2013-05-02 15:00,31.525,A
2013-05-02 16:00,29.975,A
2013-05-02 17:00,27.875,A
2013-05-02 18:00,27.025,A
2013-05-02 19:00,27.875,A
2013-05-02 20:00,29.575,A
2013-05-02 21:00,30.925,A
2013-05-02 22:00,31.8,A
2013-05-02 23:00,32.425,A
2013-05-03 00:00,32.725,A
2013-05-03 01:00,32.9,A
2013-05-03 02:00,32.875,A
2013-05-03 03:00,32.725,A
2013-05-03 04:00,32.625,A
2013-05-03 05:00,32.45,A
2013-05-03 06:00,32.3,A
2013-05-03 07:00,32.325,A
2013-05-03 08:00,32.55,A
2013-05-03 09:00,32.95,A
2013-05-03 10:00,33.4,A
2013-05-03 11:00,33.95,A
2013-05-03 12:00,34.4,A
2013-05-03 13:00,34.825,A
2013-05-03 14:00,35.25,A
2013-05-03 15:00,35.65,A
2013-05-03 16:00,36.025,A
2013-05-03 17:00,36.35,A
2013-05-03 18:00,36.45,A
2013-05-03 19:00,36.525,A
2013-05-03 20:00,36.625,A
2013-05-03 21:00,36.775,A
2013-05-03 22:00,36.825,A
2013-05-03 23:00,36.8,A
2013-05-04 00:00,36.6,A
2013-05-04 01:00,36.4,A
2013-05-04 02:00,36.425,A
2013-05-04 03:00,36.325,A
2013-05-04 04:00,36.3,A
2013-05-04 05:00,36.375,A
2013-05-04 06:00,36.475,A
2013-05-04 07:00,36.55,A
2013-05-04 08:00,36.725,A
2013-05-04 09:00,36.875,A
2013-05-04 10:00,37.075,A
2013-05-04 11:00,37.075,A
2013-05-04 12:00,37.175,A
2013-05-04 13:00,37.25,A
2013-05-04 14:00,37.2,A
2013-05-04 15:00,37.175,A
2013-05-04 16:00,36.975,A
2013-05-04 17:00,36.7,A
2013-05-04 18:00,36.2,A
2013-05-04 19:00,35.725,A
2013-05-04 20:00,35.2,A
2013-05-04 21:00,34.3,A
2013-05-04 22:00,32.65,A
2013-05-04 23:00,31.55,A
2013-05-05 00:00,30.7,A
2013-05-05 01:00,30.725,A
2013-05-05 02:00,31.0,A
2013-05-05 03:00,31.9,A
2013-05-05 04:00,31.975,A
2013-05-05 05:00,32.25,A
2013-05-05 06:00,31.6,A
2013-05-05 07:00,31.35,A
2013-05-05 08:00,31.1,A
2013-05-05 09:00,30.875,A
2013-05-05 10:00,30.85,A
2013-05-05 11:00,29.880000000000006,A
2013-05-05 12:00,29.95,A
2013-05-05 13:00,29.95,A
2013-05-05 14:00,29.95,A
2013-05-05 15:00,29.950000000000006,A
2013-05-05 16:00,29.9,A
2013-05-05 17:00,29.925,A
2013-05-05 18:00,29.75,A
2013-05-05 19:00,29.500000000000004,A
2013-05-05 20:00,29.35,A
2013-05-05 21:00,29.075000000000006,A
2013-05-05 22:00,28.825000000000006,A
2013-05-05 23:00,28.825,A
2013-05-06 00:00,28.425,A
2013-05-06 01:00,28.625,A
2013-05-06 02:00,28.725,A
2013-05-06 03:00,29.5,A
2013-05-06 04:00,29.875,A
2013-05-06 05:00,30.15,A
2013-05-06 06:00,30.325000000000006,A
2013-05-06 07:00,30.6,A
2013-05-06 08:00,31.125,A
2013-05-06 09:00,31.5,A
2013-05-06 10:00,31.85,A
2013-05-06 11:00,32.3,A
2013-05-06 12:00,32.525,A
2013-05-06 13:00,32.75,A
2013-05-06 14:00,33.025,A
2013-05-06 15:00,32.980000000000004,A
2013-05-06 16:00,33.3,A
2013-05-06 17:00,33.325,A
2013-05-06 18:00,33.3,A
2013-05-06 19:00,33.325,A
2013-05-06 20:00,33.125,A
2013-05-06 21:00,33.025,A
2013-05-06 22:00,32.849999999999994,A
2013-05-06 23:00,32.675,A
2013-05-07 00:00,32.525,A
2013-05-07 01:00,32.55,A
2013-05-07 02:00,32.575,A
2013-05-07 03:00,32.675,A
2013-05-07 04:00,32.9,A
2013-05-07 05:00,32.925,A
2013-05-07 06:00,33.175000000000004,A
2013-05-07 07:00,33.4,A
2013-05-07 08:00,33.65,A
2013-05-07 09:00,33.8,A
2013-05-07 10:00,34.05,A
2013-05-07 11:00,34.225,A
2013-05-07 12:00,34.375,A
2013-05-07 13:00,34.55,A
2013-05-07 14:00,34.7,A
2013-05-07 15:00,34.825,A
2013-05-07 16:00,34.95,A
2013-05-07 17:00,35.1,A
2013-05-07 18:00,35.175000000000004,A
2013-05-07 19:00,35.3,A
2013-05-07 20:00,35.3,A
2013-05-07 21:00,35.34999999999999,A
2013-05-07 22:00,35.34999999999999,A
2013-05-07 23:00,35.325,A
2013-05-08 00:00,35.225,A
2013-05-08 01:00,35.225,A
2013-05-08 02:00,35.225,A
2013-05-08 03:00,35.275,A
2013-05-08 04:00,35.34999999999999,A
2013-05-08 05:00,35.375,A
2013-05-08 06:00,35.425,A
2013-05-08 07:00,35.625,A
2013-05-08 08:00,35.7,A
